colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,36754.59721903615,2242.889738226123,AUGUST
ACR-415,26319.026821550193,996.2396007517834,AUGUST
ACR-416,22349.039641773732,1394.039270810813,AUGUST
ACR-417,13574.259284592215,881.04417502208,AUGUST
ACR-418,18422.67269631355,1338.64286887858,AUGUST
ACR-420,8225.792453314863,561.235195579148,AUGUST
ACR-421,26371.717756015758,1137.5023409106886,AUGUST
ACR-422,59644.020903629775,1984.3523701544332,AUGUST
ACR-423,9750.84697424067,592.7031807744125,AUGUST
ACR-424,15204.228831742752,853.621522748228,AUGUST
ACR-425,38145.5221271474,1819.107886233145,AUGUST
ACR-426,17787.245494091396,581.1791578050937,AUGUST
ACR-427,7143.24146986075,363.42488468844556,AUGUST
ACR-428,31985.4208246204,1788.3985223571717,AUGUST
ACR-429,14787.876859733457,865.0558999223427,AUGUST
ACR-430,43363.77096613699,1472.418762372041,AUGUST
ACR-431,52384.0602975354,1929.8369741012225,AUGUST
ACR-432,8410.132887384969,580.8530026619324,AUGUST
ACR-433,5216.307179863618,385.9899442380413,AUGUST
ACR-434,22157.602720881656,941.1847086634021,AUGUST
ACR-465,6998.621262468505,475.61837123405934,AUGUST
