colony_id,timepoint,homog_vol_ml,note,date_airbrushed
ACR-425,JAN,15,,20220303
ACR-457,JAN,12.5,,20220303
ACR-432,JAN,15,,20220303
ACR-430,JAN,12.5,,20220303
ACR-465,JAN,15,,20220303
ACR-422,JAN,22.5,,20220303
ACR-418,JAN,13,,20220303
ACR-464,JAN,16,,20220303
ACR-460,JAN,12.5,,20220303
ACR-424,JAN,10,,20220303
ACR-429,JAN,15,2_frags,20220303
ACR-426,JAN,10,2_frags,20220303
ACR-421,JAN,21,5_frags,20220303
ACR-438,JAN,20,,20220303
ACR-415,JAN,10,,20220303
ACR-459,JAN,10,,20220303
ACR-431,JAN,10,,20220303
ACR-439,JAN,16,2_frags,20220303
ACR-436,JAN,20,2_frags,20220303
ACR-428,JAN,11,,20220303
ACR-423,JAN,14,,20220303
ACR-451,JAN,20,,20220303
ACR-437,JAN,12.5,,20220303
ACR-420,JAN,27.5,2_frags,20220303
ACR-427,JAN,7,,20220303
ACR-449,JAN,8,2_frags,20220303
ACR-461,JAN,14,,20220303
ACR-433,JAN,10,,20220303
ACR-435-419,JAN,12.5,,20220303
ACR-414,JAN,7.5,,20220303
ACR-416,JAN,7.5,,20220303
ACR-417,JAN,7.5,,20220303
ACR-456,JAN,10,,20220303
ACR-458,JAN,12.5,,20220303
ACR-448,JAN,14,,20220303
ACR-434,JAN,10,,20220303
ACR-462,JAN,11,,20220303
