well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,ACR-435
D8,ACR-435
D9,ACR-437
D10,ACR-437
D11,ACR-456
D12,ACR-456
E1,ACR-460
E2,ACR-460
E3,ACR-461
E4,ACR-461
E5,ACR-462
E6,ACR-462
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
