Well,562:562
A1,2.827
B1,0.37
C1,1.433
D1,1.619
E1,0.592
F1,0.111
G1,0.108
H1,0.118
A2,2.772
B2,0.36
C2,1.313
D2,1.513
E2,0.618
F2,0.106
G2,0.109
H2,0.109
A3,2.31
B3,0.193
C3,0.968
D3,1.267
E3,1.543
F3,0.106
G3,0.11
H3,0.109
A4,2.286
B4,0.183
C4,0.947
D4,1.238
E4,1.483
F4,0.102
G4,0.106
H4,0.114
A5,1.486
B5,0.159
C5,0.935
D5,1.462
E5,0.835
F5,0.106
G5,0.107
H5,0.117
A6,1.537
B6,0.157
C6,0.926
D6,1.446
E6,0.833
F6,0.101
G6,0.103
H6,0.116
A7,1.389
B7,1.455
C7,1.347
D7,1.412
E7,1.248
F7,0.101
G7,0.103
H7,0.111
A8,1.366
B8,1.44
C8,1.533
D8,1.359
E8,1.136
F8,0.103
G8,0.103
H8,0.12
A9,0.941
B9,1.474
C9,1.512
D9,0.725
E9,0.145
F9,0.101
G9,0.103
H9,0.116
A10,0.933
B10,1.444
C10,1.524
D10,0.723
E10,0.106
F10,0.11
G10,0.109
H10,0.11
A11,0.58
B11,1.37
C11,1.208
D11,1.395
E11,0.111
F11,0.109
G11,0.112
H11,0.118
A12,0.582
B12,1.367
C12,1.296
D12,1.381
E12,0.115
F12,0.122
G12,0.113
H12,0.124
