Well,562:562
A1,2.393
B1,0.274
C1,1.136
D1,1.038
E1,0.741
F1,1.147
G1,1.001
H1,0.885
I1,1.147
A2,2.327
B2,0.286
C2,1.134
D2,0.968
E2,0.736
F2,1.114
G2,1.052
H2,0.865
I2,1.156
A3,1.843
B3,0.114
C3,1.176
D3,1.253
E3,0.887
F3,0.822
G3,0.856
H3,0.875
A4,1.823
B4,0.112
C4,1.075
D4,1.149
E4,0.866
F4,0.753
G4,0.732
H4,0.852
A5,1.331
B5,0.084
C5,1.054
D5,0.922
E5,0.844
F5,0.931
G5,0.864
H5,1.157
A6,1.344
B6,0.084
C6,1.076
D6,0.927
E6,0.856
F6,0.949
G6,0.905
H6,1.087
A7,1.054
B7,0.69
C7,0.778
D7,0.778
E7,0.727
F7,0.828
G7,0.93
H7,1.028
A8,1.051
B8,0.615
C8,0.783
D8,0.781
E8,0.696
F8,0.733
G8,0.877
H8,1.022
A9,0.746
B9,0.891
C9,1.062
D9,1.092
E9,0.675
F9,0.962
G9,0.816
H9,1.074
A10,0.691
B10,0.897
C10,1.144
D10,1.155
E10,0.698
F10,0.945
G10,0.811
H10,1.08
A11,0.426
B11,0.763
C11,0.895
D11,0.8
E11,0.818
F11,0.772
G11,0.924
H11,1.036
A12,0.448
B12,0.821
C12,0.891
D12,0.779
E12,0.888
F12,0.798
G12,0.922
H12,0.948
