Well,562:562
A1,2.848
B1,0.27
C1,1.555
D1,1.842
E1,1.392
F1,0.784
G1,1.05
H1,1.324
I1,1.719
A2,2.73
B2,0.278
C2,1.642
D2,1.854
E2,1.392
F2,0.816
G2,1.189
H2,1.46
I2,1.78
A3,2.075
B3,0.124
C3,1.471
D3,0.888
E3,1.422
F3,1.343
G3,1.667
H3,1.078
A4,1.861
B4,0.123
C4,1.486
D4,0.886
E4,1.643
F4,1.425
G4,1.574
H4,1.125
A5,1.381
B5,0.085
C5,0.952
D5,1.593
E5,1.129
F5,1.122
G5,0.837
H5,1.726
A6,1.328
B6,0.085
C6,1.024
D6,1.677
E6,1.108
F6,1.095
G6,0.892
H6,1.859
A7,1.025
B7,0.987
C7,1.281
D7,1.102
E7,0.777
F7,1.691
G7,0.998
H7,1.283
A8,1.036
B8,1.078
C8,1.349
D8,1.165
E8,0.893
F8,1.587
G8,0.935
H8,1.46
A9,0.762
B9,1.23
C9,1.476
D9,0.827
E9,1.281
F9,2.071
G9,1.175
H9,1.167
A10,0.707
B10,1.228
C10,1.393
D10,0.725
E10,1.206
F10,1.918
G10,1.121
H10,1.132
A11,0.394
B11,1.057
C11,1.122
D11,1.489
E11,1.198
F11,1.651
G11,1.139
H11,0.744
A12,0.447
B12,1
C12,1.24
D12,1.373
E12,1.359
F12,1.527
G12,1.481
H12,0.858
