Well,562:562
A1,2.359
B1,0.277
C1,2.242
D1,2.227
E1,1.994
F1,0.044
G1,0.043
H1,0.046
A2,2.29
B2,0.284
C2,2.284
D2,2.229
E2,2.029
F2,0.043
G2,0.044
H2,0.045
A3,1.874
B3,0.1
C3,2.573
D3,1.894
E3,2.364
F3,0.043
G3,0.045
H3,0.046
A4,1.986
B4,0.1
C4,2.589
D4,1.855
E4,2.44
F4,0.043
G4,0.044
H4,0.045
A5,1.339
B5,0.124
C5,2.171
D5,1.302
E5,1.726
F5,0.043
G5,0.044
H5,0.044
A6,1.264
B6,0.123
C6,2.152
D6,1.334
E6,1.777
F6,0.044
G6,0.044
H6,0.045
A7,0.972
B7,2.157
C7,1.482
D7,1.538
E7,1.501
F7,0.048
G7,0.045
H7,0.043
A8,1.111
B8,2.184
C8,1.721
D8,1.532
E8,1.503
F8,0.044
G8,0.043
H8,0.044
A9,0.728
B9,1.726
C9,2.125
D9,1.74
E9,2.202
F9,0.045
G9,0.045
H9,0.044
A10,0.77
B10,1.744
C10,2.211
D10,1.741
E10,2.155
F10,0.045
G10,0.045
H10,0.047
A11,0.426
B11,2.092
C11,2.175
D11,1.493
E11,0.044
F11,0.043
G11,0.045
H11,0.043
A12,0.451
B12,2.028
C12,2.369
D12,1.561
E12,0.044
F12,0.045
G12,0.043
H12,0.045
