Well,562:562
A1,2.3
B1,0.27
C1,2.155
D1,2.617
E1,1.569
F1,2.326
G1,1.585
H1,2.555
A2,2.265
B2,0.277
C2,2.184
D2,2.347
E2,1.625
F2,2.319
G2,1.77
H2,2.639
A3,1.791
B3,0.122
C3,2.261
D3,2.141
E3,2.47
F3,1.843
G3,1.544
H3,1.86
A4,1.8
B4,0.12
C4,1.801
D4,2.135
E4,2.55
F4,1.728
G4,1.759
H4,2.035
A5,1.31
B5,0.084
C5,1.856
D5,1.81
E5,2.391
F5,1.69
G5,2.711
H5,2.056
A6,1.385
B6,0.091
C6,1.891
D6,1.838
E6,2.354
F6,1.618
G6,2.815
H6,2.102
A7,1.035
B7,1.821
C7,2.459
D7,2.425
E7,2.448
F7,2.34
G7,2.865
H7,0.044
A8,1.097
B8,1.885
C8,2.509
D8,2.616
E8,2.288
F8,2.378
G8,2.9
H8,0.043
A9,0.735
B9,1.719
C9,1.778
D9,2.702
E9,1.587
F9,2.553
G9,1.938
H9,0.046
A10,0.755
B10,1.78
C10,1.675
D10,2.655
E10,1.581
F10,2.624
G10,1.891
H10,0.045
A11,0.419
B11,2.059
C11,1.667
D11,1.829
E11,2.731
F11,2.658
G11,2.26
H11,0.044
A12,0.447
B12,1.84
C12,1.703
D12,2.225
E12,2.794
F12,2.679
G12,2.317
H12,0.043
