Well,562:562
A1,2.258
B1,0.284
C1,1.052
D1,1.317
E1,1.488
F1,1.989
G1,1.655
H1,2.399
A2,2.57
B2,0.287
C2,1.074
D2,1.515
E2,1.432
F2,2.307
G2,1.684
H2,2.034
A3,1.915
B3,0.123
C3,1.423
D3,1.344
E3,1.73
F3,1.679
G3,1.419
H3,1.881
A4,1.958
B4,0.126
C4,1.08
D4,1.561
E4,1.755
F4,1.899
G4,1.684
H4,2.081
A5,1.367
B5,0.086
C5,1.546
D5,1.389
E5,1.864
F5,1.84
G5,1.83
H5,2.19
A6,1.452
B6,0.088
C6,1.393
D6,2.117
E6,2.006
F6,2.034
G6,2.128
H6,2.794
A7,1.115
B7,1.162
C7,1.065
D7,1.562
E7,1.397
F7,1.488
G7,1.465
H7,0.091
A8,1.137
B8,1.472
C8,1.187
D8,1.831
E8,1.467
F8,1.521
G8,1.554
H8,0.086
A9,0.805
B9,1.401
C9,1.568
D9,1.243
E9,1.366
F9,2.036
G9,2.637
H9,0.088
A10,0.87
B10,1.759
C10,2.081
D10,1.361
E10,1.142
F10,2.305
G10,2.481
H10,0.099
A11,0.479
B11,1.31
C11,1.357
D11,1.075
E11,2.131
F11,1.568
G11,2.387
H11,0.097
A12,0.505
B12,1.569
C12,1.677
D12,1.749
E12,1.894
F12,2.394
G12,2.689
H12,0.087
