colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,NOVEMBER,12.5,20221112,
ACR-415,NOVEMBER,20,20221112,
ACR-416,NOVEMBER,15,20221112,
ACR-417,NOVEMBER,15,20221112,
ACR-418,NOVEMBER,15,20221112,
ACR-420,NOVEMBER,20,20221112,
ACR-421,NOVEMBER,17.5,20221112,
ACR-422,NOVEMBER,25,20221112,
ACR-423,NOVEMBER,12.5,20221112,
ACR-424,NOVEMBER,16,20221112,
ACR-425,NOVEMBER,15,20221112,
ACR-426,NOVEMBER,12.5,20221112,
ACR-427,NOVEMBER,20,20221112,
ACR-428,NOVEMBER,10,20221112,
ACR-429,NOVEMBER,22.5,20221112,
ACR-430,NOVEMBER,10,20221112,
ACR-431,NOVEMBER,12.5,20221112,
ACR-432,NOVEMBER,15,20221112,
ACR-433,NOVEMBER,15,20221112,
ACR-434,NOVEMBER,12.5,20221112,
ACR-435,NOVEMBER,17,20221112,
ACR-436,NOVEMBER,22.5,20221112,
ACR-437,NOVEMBER,20,20221112,
ACR-438,NOVEMBER,20,20221112,
ACR-439,NOVEMBER,17.5,20221112,
ACR-446,NOVEMBER,10,20221112,
ACR-447,NOVEMBER,10,20221112,
ACR-448,NOVEMBER,17.5,20221112,
ACR-449,NOVEMBER,17.5,20221112,
ACR-451,NOVEMBER,15,20221112,
ACR-456,NOVEMBER,17.5,20221112,
ACR-457,NOVEMBER,17.5,20221112,
ACR-458,NOVEMBER,15,20221112,
ACR-459,NOVEMBER,25,20221112,
ACR-460,NOVEMBER,10,20221112,
ACR-461,NOVEMBER,15,20221112,
ACR-462,NOVEMBER,12.5,20221112,
ACR-463,NOVEMBER,17.5,20221112,
ACR-464,NOVEMBER,12.5,20221112,
ACR-465,NOVEMBER,12.5,20221112,
