Well,562:562
A1,2.239
B1,0.282
C1,2.281
D1,1.257
E1,3.289
F1,0.046
G1,0.046
H1,0.046
A2,2.316
B2,0.283
C2,2.294
D2,1.386
E2,3.386
F2,0.045
G2,0.043
H2,0.045
A3,1.872
B3,0.117
C3,1.777
D3,2.068
E3,2.083
F3,0.044
G3,0.045
H3,0.046
A4,1.859
B4,0.114
C4,1.828
D4,2.031
E4,2.119
F4,0.045
G4,0.045
H4,0.047
A5,1.324
B5,0.087
C5,2.026
D5,1.013
E5,2.462
F5,0.045
G5,0.044
H5,0.046
A6,1.338
B6,0.088
C6,2.06
D6,1.015
E6,2.557
F6,0.045
G6,0.044
H6,0.045
A7,1.039
B7,1.749
C7,1.843
D7,2.726
E7,0.046
F7,0.046
G7,0.045
H7,0.044
A8,0.997
B8,1.778
C8,1.782
D8,2.559
E8,0.046
F8,0.05
G8,0.045
H8,0.045
A9,0.767
B9,1.081
C9,1.14
D9,1.959
E9,0.046
F9,0.047
G9,0.045
H9,0.046
A10,0.786
B10,1.046
C10,1.175
D10,2.076
E10,0.044
F10,0.046
G10,0.046
H10,0.045
A11,0.455
B11,1.042
C11,2.848
D11,3.469
E11,0.05
F11,0.046
G11,0.046
H11,0.047
A12,0.436
B12,1.103
C12,2.627
D12,3.699
E12,0.044
F12,0.044
G12,0.044
H12,0.049
,1.048
,0.733
