colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,19910.25016330643,703.0256695767046,SEPTEMBER
ACR-415,26649.53586087568,947.5065354175133,SEPTEMBER
ACR-416,17901.071914725857,830.3982780210284,SEPTEMBER
ACR-417,30495.122195023774,1048.9404232609227,SEPTEMBER
ACR-418,17418.386449601392,694.1783268871966,SEPTEMBER
ACR-420,17744.199138560405,821.0011549747574,SEPTEMBER
ACR-421,36543.989367501796,1030.1608424244503,SEPTEMBER
ACR-422,21792.513368060776,869.4657188146725,SEPTEMBER
ACR-423,24558.406137839476,1038.6414268449373,SEPTEMBER
ACR-424,34631.63157652489,1163.3785623639715,SEPTEMBER
ACR-425,12684.343695777707,681.7032668617194,SEPTEMBER
ACR-426,14003.386783845825,754.8518357951995,SEPTEMBER
ACR-427,18226.88460368487,686.7847099424738,SEPTEMBER
ACR-428,13653.439821630589,681.7734552556833,SEPTEMBER
ACR-429,27511.129416122843,1027.987903244204,SEPTEMBER
ACR-430,44092.266692964346,1211.5731872854149,SEPTEMBER
ACR-431,20199.86144238111,780.7785297460994,SEPTEMBER
ACR-432,17520.95711094034,790.3161885513643,SEPTEMBER
ACR-433,21306.113495677055,693.6825938827801,SEPTEMBER
ACR-434,33407.13237261814,1015.0021417052232,SEPTEMBER
ACR-435,13080.355886410816,397.4178056017624,SEPTEMBER
ACR-436,23500.22331016962,966.5802847491486,SEPTEMBER
ACR-437,14649.083648065318,701.2753589733129,SEPTEMBER
ACR-438,49406.42355475362,1209.5790293105451,SEPTEMBER
ACR-439,27985.262830992102,802.1100742870228,SEPTEMBER
ACR-446,23081.388614558622,727.1023489300546,SEPTEMBER
ACR-447,35891.33558588421,1129.6466220389516,SEPTEMBER
ACR-448,49353.53826282098,1202.548106731448,SEPTEMBER
ACR-449,26404.572987325013,1009.74388616748,SEPTEMBER
ACR-451,42397.83060114643,1083.7814695117465,SEPTEMBER
ACR-456,42209.793378978946,1096.9252152389072,SEPTEMBER
ACR-457,22233.173964217902,746.8778335241054,SEPTEMBER
ACR-458,28896.43670103005,1018.3239218385055,SEPTEMBER
ACR-459,31624.606183415017,1211.9444589214695,SEPTEMBER
ACR-460,32734.887807816805,1058.1087101956641,SEPTEMBER
ACR-461,16187.538513534015,841.0414989194801,SEPTEMBER
ACR-462,20117.657836848208,703.4358086773325,SEPTEMBER
ACR-463,25652.790375393663,985.18930329597,SEPTEMBER
ACR-464,54984.21072419327,1394.6022235902506,SEPTEMBER
ACR-465,20998.49577793104,950.7582112477301,SEPTEMBER
