colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,77.17048162922822,6.745177112448495,APRIL
ACR-415,17826.669872156795,832.9105780898108,APRIL
ACR-416,11906.453202742443,795.0488808472512,APRIL
ACR-417,19771.430968994824,1086.9810650609172,APRIL
ACR-418,9281.161040556226,748.1847612178858,APRIL
ACR-420,6484.790414234365,705.5319277470766,APRIL
ACR-421,2243.3656446520927,252.91626000183518,APRIL
ACR-422,16884.262659885593,962.2529636139384,APRIL
ACR-423,15564.37363816737,871.0777381132921,APRIL
ACR-424,10613.14360118873,757.4495863209324,APRIL
ACR-425,12647.96668679444,844.5631615142165,APRIL
ACR-426,10200.319586430061,469.5368064861595,APRIL
ACR-427,7129.567726551397,606.1426725912941,APRIL
ACR-428,5256.986128300953,517.6534450759758,APRIL
ACR-429,12529.019158380595,874.1355823494905,APRIL
ACR-430,24027.962928584755,1122.6518826394088,APRIL
ACR-431,29760.311053868747,1349.9450110242651,APRIL
ACR-433,30.466482772671952,2.0343877911673713,APRIL
ACR-434,3316.954576204862,388.009705683691,APRIL
ACR-435,35249.259489328964,1159.4839117520037,APRIL
ACR-436,9046.591449206355,1019.9095633617437,APRIL
ACR-437,2716.7648456431525,374.04435125118994,APRIL
ACR-438,8587.643526539225,968.1679347006775,APRIL
ACR-439,29700.92908621408,1043.1376433272167,APRIL
ACR-446,7201.969028650863,612.2980974973826,APRIL
ACR-447,4825.039946132427,636.1651428100256,APRIL
ACR-448,11384.465878510533,700.1011796454311,APRIL
ACR-449,10181.401423014511,820.7560842070064,APRIL
ACR-451,16977.08182723654,985.5933964075792,APRIL
ACR-456,11252.351967873865,767.8483138277475,APRIL
ACR-457,7627.349371956033,829.8400044177752,APRIL
ACR-458,8821.60472375303,793.3466723542822,APRIL
ACR-459,14888.189730090175,589.4181824831688,APRIL
ACR-460,28444.648343908048,1126.1135995838504,APRIL
ACR-461,11990.596003722594,942.1931702549791,APRIL
ACR-462,4431.712792284718,482.16128353180943,APRIL
ACR-463,17850.679152713674,1245.4218178806047,APRIL
ACR-464,12240.538260962003,1012.9919308317601,APRIL
ACR-465,17674.49501656089,1045.5878431448186,APRIL
