colony_id,surface.area.cm2,timepoint
ACR-430,21.40286165297639,APRIL
ACR-425,14.975749906162035,APRIL
ACR-423,17.867950192228506,APRIL
ACR-458,11.119482858073418,APRIL
ACR-457,9.19134933402911,APRIL
ACR-414,11.440838445414132,APRIL
ACR-462,9.19134933402911,APRIL
ACR-451,17.22523901754704,APRIL
ACR-463,14.333038731480592,APRIL
ACR-421,8.869993746688388,APRIL
ACR-449,12.40490520743629,APRIL
ACR-434,8.548638159347677,APRIL
ACR-456,14.65439431882131,APRIL
ACR-428,10.155416096051264,APRIL
ACR-420,9.191349334029107,APRIL
ACR-431,22.0455728276578,APRIL
ACR-417,18.1893057795692,APRIL
ACR-416,14.97574990616202,APRIL
ACR-465,16.903883430206342,APRIL
ACR-437,7.263215809984805,APRIL
ACR-438,8.869993746688394,APRIL
ACR-418,12.404905207436286,APRIL
ACR-415,21.402861652976377,APRIL
ACR-436,8.869993746688392,APRIL
ACR-446,11.762194032754852,APRIL
ACR-460,25.259128701064995,APRIL
ACR-429,14.333038731480599,APRIL
ACR-447,7.584571397325522,APRIL
ACR-427,11.762194032754852,APRIL
ACR-464,12.083549620095582,APRIL
ACR-448,16.26117225552489,APRIL
ACR-435,30.400818098516453,APRIL
ACR-424,14.011683144139875,APRIL
ACR-422,17.546594604887765,APRIL
ACR-461,12.726260794777003,APRIL
ACR-432,11.440838445414135,APRIL
ACR-426,21.724217240317103,APRIL
ACR-433,14.975749906162035,APRIL
ACR-439,28.472684574472154,APRIL
ACR-459,25.259128701064995,APRIL
