Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
40,ACR-414,Host,SEPTEMBER,1.1528,1.218,1.2082
19,ACR-415,Host,SEPTEMBER,1.1438,1.2067,1.1976
34,ACR-416,Host,SEPTEMBER,1.1369,1.199,1.1895
85,ACR-417,Host,SEPTEMBER,1.1351,1.1963,1.1849
59,ACR-418,Host,SEPTEMBER,1.138,1.202,1.1912
33,ACR-420,Host,SEPTEMBER,1.1493,1.2142,1.2033
5,ACR-421,Host,SEPTEMBER,1.1393,1.2025,1.193
50,ACR-422,Host,SEPTEMBER,1.1242,1.1853,1.1758
83,ACR-423,Host,SEPTEMBER,1.1459,1.2121,1.2004
73,ACR-424,Host,SEPTEMBER,1.1465,1.2068,1.1969
18,ACR-425,Host,SEPTEMBER,1.1547,1.2113,1.2054
7,ACR-426,Host,SEPTEMBER,1.1335,1.195,1.1862
76,ACR-427,Host,SEPTEMBER,1.127,1.193,1.1819
11,ACR-428,Host,SEPTEMBER,1.1449,1.2046,1.1979
62,ACR-429,Host,SEPTEMBER,1.1569,1.2217,1.2103
55,ACR-430,Host,SEPTEMBER,1.1435,1.2102,1.1978
24,ACR-431,Host,SEPTEMBER,1.1516,1.2128,1.1994
65,ACR-432,Host,SEPTEMBER,1.1356,1.1999,1.1896
26,ACR-433,Host,SEPTEMBER,1.1432,1.2107,1.1994
32,ACR-434,Host,SEPTEMBER,1.1387,1.1539,1.1455
38,ACR-435,Host,SEPTEMBER,1.1499,1.2111,1.2015
9,ACR-436,Host,SEPTEMBER,1.1445,1.2122,1.1987
6,ACR-437,Host,SEPTEMBER,1.1339,1.1979,1.188
39,ACR-438,Host,SEPTEMBER,1.1321,1.1954,1.1865
41,ACR-439,Host,SEPTEMBER,1.1538,1.1641,1.1591
46,ACR-446,Host,SEPTEMBER,1.1253,1.1918,1.1804
61,ACR-447,Host,SEPTEMBER,1.1387,1.2095,1.1968
10,ACR-448,Host,SEPTEMBER,1.1584,1.2219,1.211
20,ACR-449,Host,SEPTEMBER,1.1411,1.2058,1.1946
71,ACR-451,Host,SEPTEMBER,1.1373,1.1981,1.1903
67,ACR-456,Host,SEPTEMBER,1.1366,1.2022,1.1907
13,ACR-457,Host,SEPTEMBER,1.1537,1.2199,1.2084
74,ACR-458,Host,SEPTEMBER,1.1487,1.2141,1.2039
52,ACR-459,Host,SEPTEMBER,1.1245,1.1847,1.1754
23,ACR-460,Host,SEPTEMBER,1.1493,1.2143,1.2027
68,ACR-461,Host,SEPTEMBER,1.1361,1.1973,1.1877
17,ACR-462,Host,SEPTEMBER,1.1423,1.2036,1.195
79,ACR-463,Host,SEPTEMBER,1.1366,1.1981,1.1892
42,ACR-464,Host,SEPTEMBER,1.1331,1.1948,1.1855
60,ACR-465,Host,SEPTEMBER,1.1387,1.1995,1.1883
49,ACR-414,Sym,SEPTEMBER,1.1461,1.1613,1.1533
82,ACR-415,Sym,SEPTEMBER,1.1361,1.1483,1.1412
51,ACR-416,Sym,SEPTEMBER,1.1354,1.1474,1.1413
64,ACR-417,Sym,SEPTEMBER,1.1198,1.1288,1.1251
27,ACR-418,Sym,SEPTEMBER,1.1423,1.1527,1.1476
21,ACR-420,Sym,SEPTEMBER,1.1491,1.1591,1.1541
81,ACR-421,Sym,SEPTEMBER,1.1527,1.164,1.1582
48,ACR-422,Sym,SEPTEMBER,1.1467,1.1548,1.1509
