well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-463
B8,ACR-463
B9,ACR-415
B10,ACR-415
B11,ACR-446
B12,ACR-446
C1,ACR-414
C2,ACR-414
C3,ACR-425
C4,ACR-425
C5,ACR-438
C6,ACR-438
C7,ACR-416
C8,ACR-416
C9,ACR-417
C10,ACR-417
C11,ACR-427
C12,ACR-427
D1,ACR-456
D2,ACR-456
D3,ACR-459
D4,ACR-459
D5,ACR-434
D6,ACR-434
D7,ACR-439
D8,ACR-439
D9,ACR-462
D10,ACR-462
D11,ACR-449
D12,ACR-449
E1,ACR-465
E2,ACR-465
E3,ACR-461
E4,ACR-461
E5,ACR-424
E6,ACR-424
E7,ACR-429
E8,ACR-429
E9,ACR-437
E10,ACR-437
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
