Well,562:562
A1,2.338
B1,0.27
C1,1.38
D1,1.977
E1,1.765
F1,0.042
G1,0.043
H1,0.044
A2,2.235
B2,0.277
C2,1.331
D2,1.86
E2,1.845
F2,0.044
G2,0.044
H2,0.044
A3,1.708
B3,0.12
C3,1.825
D3,1.478
E3,1.845
F3,0.043
G3,0.044
H3,0.059
A4,1.759
B4,0.121
C4,1.793
D4,1.475
E4,1.894
F4,0.044
G4,0.044
H4,0.045
A5,1.198
B5,0.09
C5,1.767
D5,1.262
E5,1.708
F5,0.043
G5,0.045
H5,0.043
A6,1.329
B6,0.089
C6,1.724
D6,1.25
E6,1.795
F6,0.048
G6,0.045
H6,0.045
A7,0.892
B7,1.426
C7,2.038
D7,1.87
E7,1.354
F7,0.082
G7,0.045
H7,0.044
A8,0.949
B8,1.498
C8,2.159
D8,1.879
E8,1.349
F8,0.044
G8,0.044
H8,0.045
A9,0.7
B9,1.796
C9,2.076
D9,1.309
E9,1.568
F9,0.044
G9,0.044
H9,0.045
A10,0.738
B10,1.754
C10,2.157
D10,1.243
E10,1.641
F10,0.046
G10,0.044
H10,0.046
A11,0.425
B11,1.826
C11,1.639
D11,1.503
E11,0.044
F11,0.043
G11,0.045
H11,0.043
A12,0.47
B12,1.887
C12,1.586
D12,1.636
E12,0.044
F12,0.044
G12,0.046
H12,0.044
