Well,562:562
A1,2.341
B1,0.288
C1,1.816
D1,1.604
E1,1.782
F1,2.355
G1,1.295
H1,2.171
A2,2.345
B2,0.23
C2,1.84
D2,1.483
E2,1.929
F2,2.263
G2,1.472
H2,2.121
A3,1.489
B3,0.103
C3,2.188
D3,1.565
E3,1.823
F3,1.829
G3,1.351
H3,1.474
A4,1.61
B4,0.097
C4,1.966
D4,1.491
E4,1.961
F4,1.749
G4,1.504
H4,1.374
A5,1.063
B5,0.143
C5,1.657
D5,1.752
E5,1.575
F5,1.536
G5,2.396
H5,1.61
A6,1.132
B6,0.079
C6,1.74
D6,1.604
E6,2.116
F6,1.612
G6,2.427
H6,1.626
A7,0.88
B7,1.726
C7,1.89
D7,1.54
E7,1.812
F7,2.144
G7,1.091
H7,1.775
A8,0.929
B8,1.673
C8,1.998
D8,1.569
E8,1.654
F8,2.015
G8,1.195
H8,1.685
A9,0.639
B9,1.462
C9,1.971
D9,1.727
E9,2.29
F9,2.662
G9,1.659
H9,2.045
A10,0.633
B10,1.544
C10,1.97
D10,1.426
E10,1.653
F10,2.385
G10,1.642
H10,2.328
A11,0.379
B11,2.258
C11,1.27
D11,1.381
E11,1.477
F11,2.371
G11,1.754
H11,2.755
A12,0.384
B12,1.976
C12,1.31
D12,1.58
E12,1.602
F12,2.394
G12,1.587
H12,2.794
