Well,562:562
A1,2.204
B1,0.313
C1,1.609
D1,1.811
E1,1.43
F1,1.618
G1,1.517
H1,1.194
A2,2.845
B2,0.307
C2,1.457
D2,1.8
E2,1.401
F2,1.578
G2,1.482
H2,1.124
A3,1.994
B3,0.128
C3,1.656
D3,1.408
E3,1.395
F3,1.093
G3,1.36
H3,1.271
A4,2.008
B4,0.119
C4,1.648
D4,1.428
E4,1.536
F4,1.05
G4,1.484
H4,1.317
A5,1.427
B5,0.087
C5,1.464
D5,1.234
E5,0.988
F5,1.463
G5,1.324
H5,1.102
A6,1.475
B6,0.088
C6,1.481
D6,1.451
E6,1.037
F6,1.476
G6,1.448
H6,1.108
A7,1.127
B7,1.476
C7,1.757
D7,1.288
E7,1.537
F7,1.212
G7,1.393
H7,0.863
A8,1.197
B8,1.508
C8,1.823
D8,1.33
E8,1.587
F8,1.223
G8,1.361
H8,0.88
A9,0.808
B9,1.625
C9,1.86
D9,1.332
E9,1.55
F9,1.56
G9,1.551
H9,0.046
A10,0.855
B10,1.653
C10,2.377
D10,1.372
E10,1.547
F10,1.662
G10,1.562
H10,0.048
A11,0.479
B11,0.877
C11,1.392
D11,1.785
E11,1.855
F11,1.101
G11,0.955
H11,0.046
A12,0.429
B12,0.92
C12,1.484
D12,1.731
E12,1.817
F12,1.073
G12,0.947
H12,0.044
