Well,562:562
A1,2.677
B1,0.267
C1,0.733
D1,0.459
E1,0.825
F1,0.518
G1,0.777
H1,1.215
I1,1.353
A2,2.57
B2,0.287
C2,0.708
D2,0.435
E2,0.936
F2,0.549
G2,0.762
H2,1.173
I2,1.372
A3,2.134
B3,0.124
C3,0.481
D3,0.568
E3,1.05
F3,0.62
G3,0.821
H3,0.797
A4,2.003
B4,0.12
C4,0.46
D4,0.619
E4,1.064
F4,0.621
G4,0.844
H4,0.852
A5,1.564
B5,0.08
C5,0.509
D5,0.662
E5,0.908
F5,0.501
G5,1.08
H5,0.429
A6,1.678
B6,0.084
C6,0.486
D6,0.619
E6,0.971
F6,0.489
G6,1.156
H6,0.454
A7,1.11
B7,0.898
C7,0.819
D7,0.844
E7,0.744
F7,0.803
G7,0.7
H7,0.464
A8,1.127
B8,0.638
C8,0.831
D8,0.808
E8,0.808
F8,0.773
G8,0.639
H8,0.445
A9,0.822
B9,0.773
C9,0.697
D9,0.792
E9,0.666
F9,1.016
G9,0.528
H9,1.306
A10,0.87
B10,0.781
C10,0.701
D10,0.848
E10,0.673
F10,1.047
G10,0.562
H10,1.271
A11,0.515
B11,0.739
C11,0.509
D11,0.799
E11,0.674
F11,0.798
G11,1.015
H11,0.748
A12,0.479
B12,0.774
C12,0.529
D12,0.764
E12,0.631
F12,0.794
G12,1.048
H12,0.733
