colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-462,APRIL,8,20220416,
ACR-427,APRIL,12.5,20220416,
ACR-414,APRIL,7.5,20220416,
ACR-434,APRIL,8,20220416,
ACR-433,APRIL,8,20220416,
ACR-429,APRIL,12,20220416,
ACR-449,APRIL,11,20220416,
ACR-415,APRIL,17.5,20220416,
ACR-430,APRIL,15,20220416,
ACR-416,APRIL,13,20220416,
ACR-425,APRIL,11,20220416,
ACR-420,APRIL,7.5,20220416,
ACR-417,APRIL,12,20220416,
ACR-424,APRIL,10,20220416,
ACR-418,APRIL,10,20220416,
ACR-465,APRIL,12.5,20220416,
ACR-460,APRIL,17.5,20220416,
ACR-459,APRIL,11,20220416,
ACR-463,APRIL,13,20220416,
ACR-436,APRIL,11,20220416,
ACR-461,APRIL,10,20220416,
ACR-456,APRIL,10,20220416,
ACR-448,APRIL,10,20220416,
ACR-446,APRIL,8,20220416,
ACR-457,APRIL,12,20220416,
ACR-421,APRIL,8,20220416,
ACR-422,APRIL,12.5,20220416,
ACR-464,APRIL,10,20220416,
ACR-423,APRIL,15,20220416,
ACR-435,APRIL,22.5,20220416,
ACR-431,APRIL,27.5,20220416,
ACR-439,APRIL,22.5,20220416,
ACR-426,APRIL,8,20220416,
ACR-437,APRIL,8,20220416,
ACR-428,APRIL,7,20220416,low volume
ACR-447,APRIL,12,20220416,
ACR-432,APRIL,0,20220416,"8ml originally, spilled in freezer to 0mL"
ACR-458,APRIL,10,20220416,
ACR-438,APRIL,9,20220416,
ACR-451,APRIL,12,20220416,
