colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,2.852598268097194,1.0506876579245161,JUNE
ACR-415,2.812088110710031,0.9067338784068208,JUNE
ACR-416,4.810294706684519,2.037499823975742,JUNE
ACR-417,2.9337510570953387,1.1084786690587076,JUNE
ACR-418,2.626293566015725,0.9168274287923216,JUNE
ACR-420,2.9804709835810725,1.2745259774874484,JUNE
ACR-421,2.9340339753507054,1.8007487610886055,JUNE
ACR-422,2.6053887309319945,1.5292891812577993,JUNE
ACR-423,3.3613633994331114,0.8476282457316776,JUNE
ACR-424,2.0718362474770053,0.785736881112001,JUNE
ACR-425,2.7479612259041195,1.7454536269755403,JUNE
ACR-426,3.0980911086757352,1.0608767572983826,JUNE
ACR-427,1.9846953549967903,0.6818545663548107,JUNE
ACR-428,3.1534264802264107,1.2443052469704892,JUNE
ACR-429,3.9564191516899028,1.3271146015787656,JUNE
ACR-430,3.479098328632888,0.8733411939144844,JUNE
ACR-431,2.4829100395656525,1.2373625732363804,JUNE
ACR-432,3.7613451128260778,1.7976115900908711,JUNE
ACR-433,2.507657232915732,1.0015695388299477,JUNE
ACR-434,2.0729197657140896,0.8941833590869958,JUNE
ACR-435,1.7325104463263168,0.43478411508882264,JUNE
ACR-436,2.9476003507732083,0.8519148217711906,JUNE
ACR-437,4.756914008482756,1.5287007315882992,JUNE
ACR-438,3.6314575570763457,1.0998371167074372,JUNE
ACR-439,2.8621579136241593,0.9938595344042604,JUNE
ACR-446,2.511736866072519,0.9678686345895915,JUNE
ACR-447,3.6604280197232426,1.15260368553268,JUNE
ACR-448,2.5570080153102697,0.5920175082450524,JUNE
ACR-449,4.453171265732891,1.0609267010253955,JUNE
ACR-451,4.1323769913098936,2.593020498426757,JUNE
ACR-456,4.148452104221777,1.5050144191086028,JUNE
ACR-457,1.9928193890487418,0.6400530978848437,JUNE
ACR-458,3.446530401453473,0.9533013661345463,JUNE
ACR-459,3.3354303287179183,1.2597353393500683,JUNE
ACR-460,3.615339128288472,1.0985127046012444,JUNE
ACR-461,6.271475677336979,1.9442300130577417,JUNE
ACR-462,3.0375557050022683,1.3058746776113659,JUNE
ACR-463,3.017507433079563,1.1611656195108289,JUNE
ACR-464,3.4282090603025077,1.0409666785704448,JUNE
ACR-465,2.8035694013472754,0.90067658726265,JUNE
