Well,562
A1,1.975
B1,0.242
C1,1.32
D1,1.295
E1,2.492
F1,1.5
G1,1.608
H1,1.781
A2,2.147
B2,0.248
C2,1.259
D2,1.288
E2,2.421
F2,1.323
G2,1.512
H2,1.745
A3,1.592
B3,0.108
C3,1.322
D3,1.718
E3,1.355
F3,1.85
G3,1.613
H3,1.289
A4,1.741
B4,0.102
C4,1.464
D4,1.527
E4,1.262
F4,1.882
G4,1.641
H4,1.315
A5,1.126
B5,0.077
C5,1.58
D5,1.398
E5,1.417
F5,1.762
G5,1.232
H5,1.643
A6,1.091
B6,0.076
C6,1.634
D6,1.284
E6,1.329
F6,1.742
G6,1.306
H6,1.693
A7,0.93
B7,1.949
C7,1.628
D7,1.421
E7,1.045
F7,1.575
G7,1.766
H7,1.588
A8,0.94
B8,2.197
C8,1.473
D8,1.741
E8,1.079
F8,1.828
G8,1.77
H8,1.682
A9,0.679
B9,1.424
C9,1.376
D9,2.367
E9,1.624
F9,1.898
G9,1.673
H9,1.217
A10,0.669
B10,1.453
C10,1.221
D10,2.467
E10,1.508
F10,1.94
G10,1.847
H10,1.292
A11,0.402
B11,1.732
C11,1.188
D11,1.353
E11,2.639
F11,1.542
G11,1.556
H11,1.242
A12,0.392
B12,1.799
C12,1.229
D12,1.472
E12,2.523
F12,1.599
G12,1.585
H12,1.491
