colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.4,146,
2,Standard,6.22,93.271,96.842,
3,Standard,5.08,46.368,48.827,
4,Standard,3.16,10.977,11.685,
5,Standard,2.52,6.212,6.59,
6,Standard,1.9,2.204,2.411,
7,Standard,1.18,0.577,0.649,
ACR-430,Coral,NA,3.964,4.444,
ACR-425,Coral,NA,4.562,5.141,
ACR-423,Coral,NA,2.084,2.434,
ACR-458,Coral,NA,1.721,2.028,
ACR-457,Coral,NA,3.844,4.17,
ACR-414,Coral,NA,1.699,2.014,
ACR-462,Coral,NA,1.159,1.423,
ACR-451,Coral,NA,1.309,1.546,
ACR-463,Coral,NA,2.286,2.595,
ACR-421,Coral,NA,3.171,3.667,
ACR-449,Coral,NA,1.965,2.41,
ACR-434,Coral,NA,0.998,1.128,
ACR-456,Coral,NA,2.026,2.386,
ACR-428,Coral,NA,2.545,3.048,
ACR-420,Coral,NA,2.21,2.397,
ACR-431,Coral,NA,2.011,2.152,
ACR-417,Coral,NA,1.626,1.793,
ACR-416,Coral,NA,3.545,4.179,
ACR-465,Coral,NA,1.421,1.633,
ACR-437,Coral,NA,2.434,2.775,
ACR-438,Coral,NA,2.843,3.199,
ACR-418,Coral,NA,1.042,1.21,
ACR-415,Coral,NA,3.844,4.32,
ACR-436,Coral,NA,3.848,4.299,
ACR-446,Coral,NA,2.436,2.929,
ACR-460,Coral,NA,0.908,1.062,
ACR-429,Coral,NA,1.564,2.159,
ACR-447,Coral,NA,1.954,3.145,
ACR-427,Coral,NA,2.213,2.74,
ACR-464,Coral,NA,3.543,3.9,
ACR-448,Coral,NA,3.021,3.347,
ACR-435-419,Coral,NA,2.257,2.586,
ACR-424,Coral,NA,1.223,1.495,
ACR-422,Coral,NA,2.739,2.956,
ACR-461,Coral,NA,5.832,6.778,
ACR-432,Coral,NA,3.64,4.463,
ACR-426,Coral,NA,2.14,2.488,
ACR-433,Coral,NA,4.009,4.408,
ACR-439,Coral,NA,5.738,6.235,
ACR-459,Coral,NA,2.965,3.395,
