Well,562
A1,2.085
B1,0.248
C1,1.017
D1,1.144
E1,1.465
F1,1.03
G1,1.029
H1,1.155
A2,2.087
B2,0.222
C2,0.942
D2,1.091
E2,1.596
F2,1.073
G2,1.094
H2,1.204
A3,1.707
B3,0.109
C3,0.985
D3,1.131
E3,0.884
F3,1.217
G3,1.157
H3,0.941
A4,1.573
B4,0.109
C4,1.016
D4,1.133
E4,0.917
F4,1.077
G4,1.194
H4,0.891
A5,1.179
B5,0.082
C5,1.077
D5,1.05
E5,0.985
F5,1.158
G5,0.857
H5,1.105
A6,1.161
B6,0.083
C6,1.163
D6,0.991
E6,1.002
F6,1.21
G6,0.836
H6,1.143
A7,0.923
B7,1.38
C7,1.06
D7,1.097
E7,0.737
F7,1.18
G7,1.127
H7,1.097
A8,0.963
B8,1.555
C8,1.122
D8,1.131
E8,0.784
F8,1.079
G8,1.131
H8,1.043
A9,0.663
B9,1
C9,0.93
D9,1.501
E9,0.985
F9,1.335
G9,1.161
H9,0.992
A10,0.614
B10,1.044
C10,0.974
D10,1.386
E10,1.029
F10,1.326
G10,1.27
H10,1.015
A11,0.389
B11,1.084
C11,0.723
D11,0.943
E11,1.495
F11,1.067
G11,0.946
H11,0.883
A12,0.41
B12,1.113
C12,0.837
D12,1.034
E12,1.791
F12,1.048
G12,0.998
H12,0.941
