Well,562:562
A1,2.315
B1,0.293
C1,2.305
D1,2.086
E1,2.015
F1,2.625
G1,2.017
H1,1.939
I1,1.856
A2,2.215
B2,0.291
C2,2.124
D2,2.033
E2,1.909
F2,2.569
G2,1.982
H2,1.884
I2,1.858
A3,1.81
B3,0.119
C3,1.714
D3,1.162
E3,1.607
F3,1.303
G3,1.302
H3,2.518
A4,1.751
B4,0.118
C4,1.65
D4,1.144
E4,1.591
F4,1.329
G4,1.323
H4,2.526
A5,1.266
B5,0.085
C5,1.716
D5,1.68
E5,1.266
F5,1.726
G5,1.043
H5,1.438
A6,1.182
B6,0.081
C6,1.823
D6,1.678
E6,1.293
F6,1.677
G6,1.024
H6,1.45
A7,0.979
B7,1.821
C7,1.036
D7,1.574
E7,0.937
F7,1.897
G7,2.332
H7,1.724
A8,1.011
B8,1.748
C8,1.039
D8,1.625
E8,0.922
F8,1.861
G8,2.353
H8,1.812
A9,0.72
B9,2.142
C9,1.279
D9,1.29
E9,1.467
F9,1.145
G9,1.205
H9,1.576
A10,0.731
B10,2.22
C10,1.218
D10,1.277
E10,1.49
F10,1.141
G10,1.097
H10,1.616
A11,0.438
B11,1.705
C11,1.531
D11,2.347
E11,1.695
F11,1.304
G11,1.767
H11,1.9
A12,0.459
B12,1.787
C12,1.617
D12,2.529
E12,1.722
F12,1.331
G12,1.742
H12,1.938
