colony_id,surface.area.cm2,timepoint
ACR-420,14.659649932101804,JULY
ACR-429,16.926243622450833,JULY
ACR-451,36.529216079523536,JULY
ACR-416,15.884835710668845,JULY
ACR-463,27.12591522902148,JULY
ACR-430,14.598390643173452,JULY
ACR-446,26.942137362236416,JULY
ACR-417,25.96198873938279,JULY
ACR-426,26.421433406345436,JULY
ACR-465,18.794651934765575,JULY
ACR-449,18.12079975655371,JULY
ACR-448,18.457725845659642,JULY
ACR-422,29.484397852763024,JULY
ACR-424,20.019837713332628,JULY
ACR-427,16.895613977986663,JULY
ACR-437,22.010764603504057,JULY
ACR-438,26.48269269527377,JULY
ACR-447,18.42709620119546,JULY
ACR-457,15.547909621562912,JULY
ACR-415,16.313650733167314,JULY
ACR-462,25.012469760993326,JULY
ACR-460,17.355058644949303,JULY
ACR-421,15.364131754777855,JULY
ACR-425,20.54054166922361,JULY
ACR-428,26.176396250632024,JULY
ACR-464,19.774800557619205,JULY
ACR-436,24.889951183136624,JULY
ACR-432,18.610874067980518,JULY
ACR-414,13.648871664783993,JULY
ACR-459,11.749833708005074,JULY
ACR-431,20.448652735831093,JULY
ACR-435,13.863279176033227,JULY
ACR-456,18.54961477905217,JULY
ACR-418,18.488355490123823,JULY
ACR-433,17.110021489235898,JULY
ACR-434,14.720909221030157,JULY
ACR-461,25.839470161526087,JULY
ACR-439,21.091875269578782,JULY
ACR-458,37.96880936933981,JULY
ACR-423,13.526353086927287,JULY
