colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,MAY,5,20220728,
ACR-415,MAY,8,20220728,
ACR-416,MAY,5,20220728,
ACR-417,MAY,5,20220728,
ACR-418,MAY,22.5,20220728,
ACR-420,MAY,15,20220728,
ACR-421,MAY,5,20220728,
ACR-422,MAY,6,20220728,
ACR-423,MAY,5,20220728,
ACR-424,MAY,5,20220728,
ACR-425,MAY,5,20220728,
ACR-426,MAY,6,20220728,
ACR-427,MAY,11,20220728,
ACR-428,MAY,5,20220728,
ACR-429,MAY,8,20220728,
ACR-430,MAY,10,20220728,
ACR-431,MAY,7.5,20220728,
ACR-432,MAY,7.5,20220728,
ACR-433,MAY,6,20220728,
ACR-434,MAY,5,20220728,
ACR-435,MAY,7.5,20220728,
ACR-436,MAY,10,20220728,
ACR-437,MAY,6,20220728,
ACR-438,MAY,5,20220728,
ACR-439,MAY,5,20220728,
ACR-446,MAY,6,20220728,
ACR-447,MAY,7.5,20220728,
ACR-448,MAY,5,20220728,
ACR-449,MAY,10,20220728,
ACR-451,MAY,11,20220728,
ACR-456,MAY,5,20220728,
ACR-457,MAY,8,20220728,
ACR-458,MAY,6,20220728,
ACR-459,MAY,5,20220728,
ACR-460,MAY,6,20220728,
ACR-461,MAY,5,20220728,
ACR-462,MAY,10,20220728,
ACR-463,MAY,5,20220728,
ACR-464,MAY,5,20220728,
ACR-465,MAY,7.5,20220728,
