colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,0.7991533497173305,0.6459468960833267,MAY
ACR-415,2.578590432466233,0.7687346982387172,MAY
ACR-416,1.8071084439938796,0.6692775415328986,MAY
ACR-417,0.6776870655042341,0.17189448281555536,MAY
ACR-418,2.0162730659265002,0.6232373092366709,MAY
ACR-420,1.9752397625829994,0.9619495571548909,MAY
ACR-421,1.1122053897728397,0.28106059961073465,MAY
ACR-422,1.665313955570364,0.521960764764154,MAY
ACR-423,0.7551213071192912,0.2279111142996726,MAY
ACR-424,1.0926607241674666,0.5488585316470119,MAY
ACR-425,1.442834168682111,0.43669615423568636,MAY
ACR-426,1.4118708529887536,0.7584165196263936,MAY
ACR-427,1.1955132629834626,0.671161055108466,MAY
ACR-428,1.7963543782617744,0.9908140767041786,MAY
ACR-429,1.7057805787293925,0.4062020305292791,MAY
ACR-430,2.024145534887337,0.5147033076087671,MAY
ACR-431,0.9572469844882462,0.25873716371226757,MAY
ACR-432,2.875764999013538,1.7827418636103425,MAY
ACR-433,1.4058058028507425,0.33425590969643126,MAY
ACR-434,0.9208079856383211,0.22091488792952776,MAY
ACR-435,2.7965970065050016,2.7400473125917792,MAY
ACR-436,2.345926307907152,2.980726656986289,MAY
ACR-437,3.0194280881797093,1.697275463096458,MAY
ACR-438,1.4641667552580118,0.6835532619710267,MAY
ACR-439,1.4232137528703106,1.6577164245518523,MAY
ACR-446,0.9130278144108064,0.25458650459502746,MAY
ACR-447,2.5641480822228786,0.6254812657863418,MAY
ACR-448,1.098615040730024,0.255892539734836,MAY
ACR-449,3.3507628829895455,0.9194534752914629,MAY
ACR-451,3.343312493442689,2.109405332827617,MAY
ACR-456,1.6828528639782643,2.0507291907768272,MAY
ACR-457,1.0953618561826208,0.40027385497744206,MAY
ACR-458,2.4500027535905224,0.5749170870152847,MAY
ACR-459,1.704933037865634,1.6869977971700059,MAY
ACR-460,1.30426123467009,0.5350040498546474,MAY
ACR-461,0.02199881918342018,0.04783061149611098,MAY
ACR-462,1.6667257106341768,1.3619209829005083,MAY
ACR-463,0.9360482100809212,0.4448654222512742,MAY
ACR-464,1.479521161412106,1.0034508871627534,MAY
ACR-465,1.3110188687684932,0.6470956610140872,MAY
