colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,278869.2098943688,MAY
ACR-415,Acropora,841286.0696867267,MAY
ACR-416,Acropora,478934.0715071225,MAY
ACR-417,Acropora,338668.2514768314,MAY
ACR-418,Acropora,380943.0850127858,MAY
ACR-420,Acropora,690312.1703169802,MAY
ACR-421,Acropora,578685.9422865722,MAY
ACR-422,Acropora,639427.3763903133,MAY
ACR-423,Acropora,281490.7287887197,MAY
ACR-424,Acropora,347363.0010744652,MAY
ACR-425,Acropora,428331.2550620148,MAY
ACR-426,Acropora,468238.14079938986,MAY
ACR-427,Acropora,478079.67848982115,MAY
ACR-428,Acropora,424610.18798835477,MAY
ACR-429,Acropora,669537.9574764407,MAY
ACR-430,Acropora,559682.7764797396,MAY
ACR-431,Acropora,273558.93896374945,MAY
ACR-432,Acropora,463871.5934880669,MAY
ACR-433,Acropora,391519.93471054226,MAY
ACR-434,Acropora,205042.75258938267,MAY
ACR-435,Acropora,691022.0443103564,MAY
ACR-436,Acropora,507089.9314907027,MAY
ACR-437,Acropora,705301.4658300373,MAY
ACR-438,Acropora,210253.225957697,MAY
ACR-439,Acropora,702901.3833157248,MAY
ACR-446,Acropora,415065.24932247505,MAY
ACR-447,Acropora,408025.4610717976,MAY
ACR-448,Acropora,502568.3662235276,MAY
ACR-449,Acropora,883862.7359880104,MAY
ACR-451,Acropora,404465.51486638386,MAY
ACR-456,Acropora,368470.0087069399,MAY
ACR-457,Acropora,456516.7141715677,MAY
ACR-458,Acropora,758870.5337386514,MAY
ACR-459,Acropora,708637.1104258457,MAY
ACR-460,Acropora,489473.4454166449,MAY
ACR-461,Acropora,648343.3274894552,MAY
ACR-462,Acropora,643282.5153896764,MAY
ACR-463,Acropora,669623.2726337375,MAY
ACR-464,Acropora,692108.3871235852,MAY
ACR-465,Acropora,488597.96959204954,MAY
