colony_id,surface.area.cm2,timepoint
ACR-451,33.496881277570125,MAY
ACR-420,20.724319536008682,MAY
ACR-436,13.771390242640695,MAY
ACR-425,12.393056241752767,MAY
ACR-464,12.54620446407365,MAY
ACR-461,10.218351484796269,MAY
ACR-417,13.311945575678058,MAY
ACR-448,14.077686687282458,MAY
ACR-429,17.01813255584336,MAY
ACR-439,12.638093397466175,MAY
ACR-446,19.009059446014817,MAY
ACR-463,19.774800557619212,MAY
ACR-426,13.924538464961573,MAY
ACR-424,10.003943973547035,MAY
ACR-421,14.659649932101804,MAY
ACR-447,18.090170112089528,MAY
ACR-462,14.690279576565981,MAY
ACR-435,13.802019887104876,MAY
ACR-414,14.567760998709275,MAY
ACR-415,19.192837312799867,MAY
ACR-457,15.333502110313683,MAY
ACR-418,25.134988338850043,MAY
ACR-422,14.200205265139155,MAY
ACR-427,26.268285184024542,MAY
ACR-432,22.500838914930885,MAY
ACR-431,46.88203590841507,MAY
ACR-434,15.057835310136094,MAY
ACR-416,14.598390643173456,MAY
ACR-437,11.994870863718484,MAY
ACR-423,9.820166106761981,MAY
ACR-438,12.484945175145299,MAY
ACR-430,24.001691493675516,MAY
ACR-456,12.913760197643768,MAY
ACR-460,16.711836111201606,MAY
ACR-449,22.92965393742935,MAY
ACR-458,18.580244423516348,MAY
ACR-465,21.49006064761307,MAY
ACR-428,20.234245224581848,MAY
ACR-459,14.629020287637625,MAY
ACR-433,20.663060247080317,MAY
