Well,562:562
A1,2.872
B1,0.374
C1,0.84
D1,1.557
E1,2.141
F1,0.114
G1,0.115
H1,0.124
A2,2.789
B2,0.358
C2,0.783
D2,1.498
E2,2.183
F2,0.112
G2,0.109
H2,0.113
A3,2.303
B3,0.19
C3,0.154
D3,1.801
E3,2.416
F3,0.104
G3,0.103
H3,0.112
A4,2.315
B4,0.182
C4,0.15
D4,1.867
E4,2.408
F4,0.101
G4,0.106
H4,0.117
A5,1.541
B5,0.156
C5,1.716
D5,1.512
E5,2.109
F5,0.106
G5,0.106
H5,0.129
A6,1.534
B6,0.147
C6,1.679
D6,1.404
E6,2.068
F6,0.101
G6,0.109
H6,0.12
A7,1.386
B7,1.024
C7,1.576
D7,2.32
E7,2.129
F7,0.1
G7,0.101
H7,0.122
A8,1.33
B8,1.015
C8,1.505
D8,2.553
E8,2.096
F8,0.104
G8,0.105
H8,0.108
A9,0.919
B9,1.043
C9,1.613
D9,1.721
E9,1.392
F9,0.104
G9,0.105
H9,0.114
A10,0.87
B10,1.044
C10,1.715
D10,1.719
E10,1.409
F10,0.114
G10,0.11
H10,0.11
A11,0.555
B11,0.16
C11,2.294
D11,1.553
E11,0.111
F11,0.116
G11,0.118
H11,0.119
A12,0.58
B12,0.166
C12,2.474
D12,1.535
E12,0.117
F12,0.114
G12,0.11
H12,0.124
