well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-462
B8,ACR-462
B9,ACR-427
B10,ACR-427
B11,ACR-414
B12,ACR-414
C1,ACR-434
C2,ACR-434
C3,ACR-433
C4,ACR-433
C5,ACR-429
C6,ACR-429
C7,ACR-449
C8,ACR-449
C9,ACR-415
C10,ACR-415
C11,ACR-430
C12,ACR-430
D1,ACR-416
D2,ACR-416
D3,ACR-425
D4,ACR-425
D5,ACR-420
D6,ACR-420
D7,ACR-417
D8,ACR-417
D9,ACR-424
D10,ACR-424
D11,ACR-418
D12,ACR-418
E1,ACR-465
E2,ACR-465
E3,ACR-460
E4,ACR-460
E5,ACR-459
E6,ACR-459
E7,ACR-463
E8,ACR-463
E9,ACR-436
E10,ACR-436
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
