colony_id,surface.area.cm2,timepoint
ACR-430,20.760150478294943,March
ACR-425,23.941570792968037,March
ACR-423,16.582527842865616,March
ACR-458,15.200698817300527,March
ACR-457,15.811274433247895,March
ACR-414,15.457783287173095,March
ACR-462,13.818869791735445,March
ACR-451,12.95120970591551,March
ACR-463,15.264969934768677,March
ACR-421,21.274319418040093,March
ACR-449,19.635405922602434,March
ACR-434,9.512704921369824,March
ACR-456,16.903883430206342,March
ACR-428,21.499268329178598,March
ACR-420,11.344431769211912,March
ACR-431,9.86619606744462,March
ACR-417,10.701720594530485,March
ACR-416,25.709026523342004,March
ACR-465,12.14782073756371,March
ACR-437,16.29330781425896,March
ACR-438,16.77534119527004,March
ACR-418,10.733856153264552,March
ACR-415,20.63160824335867,March
ACR-436,19.82821927500688,March
ACR-446,21.177912741837872,March
ACR-460,10.283958330987552,March
ACR-429,24.45573973271319,March
ACR-447,43.608532738219964,March
ACR-427,22.27052173879632,March
ACR-464,16.80747675400411,March
ACR-448,15.811274433247895,March
ACR-435-419,15.907681109450099,March
ACR-424,14.075954261608018,March
ACR-422,12.308498531234074,March
ACR-461,35.735320848372375,March
ACR-432,31.782647124081556,March
ACR-426,16.518256725397467,March
ACR-433,18.157170220835134,March
ACR-439,21.30645497677416,March
ACR-459,19.15337254159136,March
