colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,313757.7950147964,MARCH
ACR-415,Acropora,1000406.7427290372,MARCH
ACR-416,Acropora,712979.1547477552,MARCH
ACR-417,Acropora,1132995.3807798845,MARCH
ACR-418,Acropora,1052277.9361604154,MARCH
ACR-420,Acropora,623653.9779102125,MARCH
ACR-421,Acropora,766181.9717803996,MARCH
ACR-422,Acropora,900800.3674749066,MARCH
ACR-423,Acropora,1066182.4401884875,MARCH
ACR-424,Acropora,769634.0249471475,MARCH
ACR-425,Acropora,555519.1058686253,MARCH
ACR-426,Acropora,1269807.1200062002,MARCH
ACR-427,Acropora,828000.3592316669,MARCH
ACR-428,Acropora,1154109.0431586788,MARCH
ACR-429,Acropora,832796.9993654789,MARCH
ACR-430,Acropora,1169949.7727016557,MARCH
ACR-431,Acropora,786777.3908947378,MARCH
ACR-432,Acropora,1459129.5627122854,MARCH
ACR-433,Acropora,924795.3542561623,MARCH
ACR-434,Acropora,1517269.1103778023,MARCH
ACR-435,Acropora,1162960.1997119435,MARCH
ACR-436,Acropora,785916.9357167566,MARCH
ACR-437,Acropora,1207331.7950952402,MARCH
ACR-438,Acropora,1055120.1191061721,MARCH
ACR-439,Acropora,1223220.8515405464,MARCH
ACR-446,Acropora,919786.8979875784,MARCH
ACR-447,Acropora,439516.43091785023,MARCH
ACR-448,Acropora,855138.7423205918,MARCH
ACR-449,Acropora,954907.6843080062,MARCH
ACR-451,Acropora,1404308.9729056582,MARCH
ACR-456,Acropora,764321.4089439736,MARCH
ACR-457,Acropora,1119454.3535833203,MARCH
ACR-458,Acropora,1220996.4964818668,MARCH
ACR-459,Acropora,817834.3359776912,MARCH
ACR-460,Acropora,705791.7875320996,MARCH
ACR-461,Acropora,853497.3039535246,MARCH
ACR-462,Acropora,650378.8034369563,MARCH
ACR-463,Acropora,687849.3730986255,MARCH
ACR-464,Acropora,817493.3216389347,MARCH
ACR-465,Acropora,851730.272465457,MARCH
