colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,1.256114776338024,0.41640430450102406,JAN
ACR-415,1.6531147872681142,0.430662016098848,JAN
ACR-416,1.636630911219738,0.4149223616733041,JAN
ACR-417,4.414109124110481,1.3303526643466592,JAN
ACR-418,4.388275379176445,1.3199403645818384,JAN
ACR-420,4.805953581930707,1.2436828292546553,JAN
ACR-421,5.016034726811486,1.3706208139653855,JAN
ACR-422,6.885593095976102,1.8680385705826632,JAN
ACR-423,3.482982242350331,0.8800588270262178,JAN
ACR-424,2.8090635469285767,0.7792366895628146,JAN
ACR-425,2.9367590630004767,0.7939641958638587,JAN
ACR-426,3.1041915724803806,0.8724437593845296,JAN
ACR-427,1.488625504768559,0.3793725669581012,JAN
ACR-428,4.235868957747611,1.2799447207978552,JAN
ACR-429,2.754292069823234,0.7331561096884475,JAN
ACR-430,3.275691774593855,0.8483952231930066,JAN
ACR-431,5.240528668011248,1.6512696371899505,JAN
ACR-432,2.1944679351805996,0.7834935808204009,JAN
ACR-433,3.8547076711457584,1.0216487357466655,JAN
ACR-434,2.5068404340693555,0.7348330530644872,JAN
ACR-435-419,3.9543266068568217,1.15618281337298,JAN
ACR-436,7.229242221694858,-0.05852769649216763,JAN
ACR-437,4.942123637856115,1.4041999799425628,JAN
ACR-438,4.265576428335181,1.2097220413019079,JAN
ACR-439,3.293881286174117,0.9056598114568187,JAN
ACR-448,3.9756588636564025,1.0783823957699785,JAN
ACR-449,3.3131069591863067,1.1112986453605231,JAN
ACR-451,10.551704156856967,3.2229421756463856,JAN
ACR-456,5.160899882045625,1.4625781171752914,JAN
ACR-457,4.142837565476793,1.1641613762060294,JAN
ACR-458,5.109373100957648,1.5648334844121332,JAN
ACR-459,2.9177324541647884,0.8046755195625724,JAN
ACR-460,4.042683792814111,1.0582014872866565,JAN
ACR-461,2.620207184859918,1.0229095228621685,JAN
ACR-462,1.818597833872973,0.7422423219750162,JAN
ACR-464,4.64904207983906,1.2963278381450094,JAN
ACR-465,6.403466788946595,2.3560604500655487,JAN
