well,colony_id
A1,BK
A2,BK
A3,ACR-460
A4,ACR-461
A5,ACR-464
A6,ACR-465
A7,ACR-418
A8,ACR-418
A9,ACR-422
A10,ACR-422
A11,ACR-465
A12,ACR-465
B1,ACR-430
B2,ACR-430
B3,ACR-432
B4,ACR-432
B5,ACR-457
B6,ACR-457
B7,ACR-425
B8,ACR-425
B9,ACR-439
B10,ACR-439
B11,ACR-431
B12,ACR-431
C1,ACR-459
C2,ACR-459
C3,ACR-415
C4,ACR-415
C5,ACR-438
C6,ACR-438
C7,ACR-421
C8,ACR-421
C9,ACR-426
C10,ACR-426
C11,ACR-429
C12,ACR-429
D1,ACR-424
D2,ACR-424
D3,ACR-461
D4,ACR-461
D5,ACR-449
D6,ACR-449
D7,ACR-427
D8,ACR-427
D9,ACR-420
D10,ACR-420
D11,ACR-437
D12,ACR-437
E1,ACR-451
E2,ACR-451
E3,ACR-423
E4,ACR-423
E5,ACR-428
E6,ACR-428
E7,ACR-434
E8,ACR-434
E9,ACR-436
E10,ACR-436
E11,ACR-448
E12,ACR-448
F1,ACR-458
F2,ACR-458
F3,ACR-456
F4,ACR-456
F5,ACR-417
F6,ACR-417
F7,ACR-416
F8,ACR-416
F9,ACR-414
F10,ACR-414
F11,ACR-435-419
F12,ACR-435-419
G1,ACR-433
G2,ACR-433
G3,ACR-462
G4,ACR-462
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
