coral.ID,replicate,tag,patch,species,species.code,site,habitat.code,date,num.polyps,status,date.prepped,date.received.URI,,,,,,,,,,,,,,
ACR_461_20220917,5,461,P3,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_417_20221015,1,417,P3,Acropora pulchra,ACR,Mahana,LAG,20221015,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_424_20221015,3,424,P3,Acropora pulchra,ACR,Mahana,LAG,20221015,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_459_20221015,5,459,P3,Acropora pulchra,ACR,Mahana,LAG,20221015,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_425_20221114,2,425,P3,Acropora pulchra,ACR,Mahana,LAG,20221114,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
HF_424_20220922,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220922,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_424_20220927,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220927,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_424_20221002,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221002,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_424_20221007,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221007,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_424_20221012,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221012,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_424_20221021,3,424,P3,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221021,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
ACR_435_20220126,3,435,P4,Acropora pulchra,ACR,Mahana,LAG,20220126,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_422_20220126,4,422,P4,Acropora pulchra,ACR,Mahana,LAG,20220126,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_439_20220215,4,439,P4,Acropora pulchra,ACR,Mahana,LAG,20220215,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_421_20220315,1,421,P4,Acropora pulchra,ACR,Mahana,LAG,20220315,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_422_20220414,2,422,P4,Acropora pulchra,ACR,Mahana,LAG,20220414,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_423_20220515,1,423,P4,Acropora pulchra,ACR,Mahana,LAG,20220515,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_431_20220616,1,431,P4,Acropora pulchra,ACR,Mahana,LAG,20220616,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_446_20220616,5,446,P4,Acropora pulchra,ACR,Mahana,LAG,20220616,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_448_20220728,2,448,P4,Acropora pulchra,ACR,Mahana,LAG,20220728,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_457_20220728,5,457,P4,Acropora pulchra,ACR,Mahana,LAG,20220728,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_464_20220811,3,464,P4,Acropora pulchra,ACR,Mahana,LAG,20220811,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_423_20220811,4,423,P4,Acropora pulchra,ACR,Mahana,LAG,20220811,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_421_20220917,1,421,P4,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_422_20221015,2,422,P4,Acropora pulchra,ACR,Mahana,LAG,20221015,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_423_20221114,1,423,P4,Acropora pulchra,ACR,Mahana,LAG,20221114,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
HF_448_20220922,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220922,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_448_20220927,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20220927,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_448_20221002,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221002,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_448_20221007,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221007,~5-10,decalcified,20230814,20231206,,,,,,,,,,,,,,
HF_448_20221012,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221012,~5-10,decalcified,20230814,20231015,,,,,,,,,,,,,,
HF_448_20221021,4,448,P4,Acropora pulchra HIGH FREQUENCY,HF,Mahana,LAG,20221021,~5-10,decalcified,20230814,20231106,,,,,,,,,,,,,,
ACR_437_20211210,3,437,P5,Acropora pulchra,ACR,Mahana,LAG,20211210,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_426_20211210,4,426,P5,Acropora pulchra,ACR,Mahana,LAG,20211210,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_458_20220315,4,458,P5,Acropora pulchra,ACR,Mahana,LAG,20220315,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_426_20220414,4,426,P5,Acropora pulchra,ACR,Mahana,LAG,20220414,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_428_20220515,4,428,P5,Acropora pulchra,ACR,Mahana,LAG,20220515,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_432_20220616,2,432,P5,Acropora pulchra,ACR,Mahana,LAG,20220616,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
ACR_438_20220616,4,438,P5,Acropora pulchra,ACR,Mahana,LAG,20220616,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_451_20220728,4,451,P5,Acropora pulchra,ACR,Mahana,LAG,20220728,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_437_20220811,5,437,P5,Acropora pulchra,ACR,Mahana,LAG,20220811,~5-10,decalcified,20230814,20231108,,,,,,,,,,,,,,
ACR_458_20220917,4,458,P5,Acropora pulchra,ACR,Mahana,LAG,20220917,~5-10,decalcified,20230814,20231020,,,,,,,,,,,,,,
